Gene ID,NC24h_pi_1,NC24h_pi_2,NC24h_pi_3,X24h_pi_1,X24h_pi_2,X24h_pi_3,NC48h_pi_1,NC48h_pi_2,NC48h_pi_3,X48h_pi_1,X48h_pi_2,X48h_pi_3,NC72h_pi_1,NC72h_pi_2,NC72h_pi_3,X72h_pi_1,X72h_pi_2,X72h_pi_3,NC96h_pi_1,NC96h_pi_2,NC96h_pi_3,X96h_pi_1,X96h_pi_2,X96h_pi_3
c155107_g1,0,0,0,1,0,2,0,0,0,4,4,2,0,0,0,5,5,3,0,0,0,18,8,42
c155157_g1,0,0,0,6,3,8,0,0,0,5,2,6,0,0,0,4,1,2,0,0,0,6,2,2
c155202_g2,0,0,0,8,5,4,0,0,0,4,4,5,0,0,0,2,1,6,0,0,0,4,6,2
c155251_g3,0,0,2,4,4,6,0,0,2,5,11,6,0,0,2,0,4,3,0,0,2,2,3,1
c155306_g1,0,0,0,14,25,15,0,0,0,12,15,16,0,0,0,1,3,22,0,0,0,23,6,6
c155353_g1,0,0,0,11,9,11,0,0,0,6,13,6,0,0,0,2,4,15,0,0,0,16,10,4
c155402_g1,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0
c155461_g1,27,26,27,6,10,8,27,26,27,8,5,10,27,26,27,6,7,8,27,26,27,13,5,3
c155514_g1,0,0,1,40,28,43,0,0,1,31,40,44,0,0,1,44,20,50,0,0,1,66,20,17
c155575_g1,0,0,0,2,3,2,0,0,0,2,0,5,0,0,0,1,0,6,0,0,0,8,1,4
c155624_g1,20,31,16,21,19,31,20,31,16,15,60,42,20,31,16,17,18,73,20,31,16,79,21,18
c155685_g1,0,0,0,6,18,14,0,0,0,1,13,2,0,0,0,2,3,4,0,0,0,13,1,0
c155748_g2,0,0,0,1,2,2,0,0,0,5,4,4,0,0,0,2,2,1,0,0,0,9,1,1
c155813_g1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,4,5
c155858_g1,0,0,0,6,1,2,0,0,0,3,8,3,0,0,0,5,1,2,0,0,0,6,3,2
c15591_g1,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1
c155967_g1,0,0,0,3,7,10,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,5,0,1
c156032_g1,2,0,0,12,10,16,2,0,0,19,22,36,2,0,0,25,8,72,2,0,0,129,45,17
c156091_g1,0,0,0,6,15,15,0,0,0,10,7,7,0,0,0,8,5,5,0,0,0,18,5,6
c156158_g1,1,2,0,3,9,4,1,2,0,5,6,8,1,2,0,4,4,26,1,2,0,8,8,8
c156208_g1,0,1,0,3,1,6,0,1,0,4,5,6,0,1,0,1,3,6,0,1,0,8,7,3
c156270_g1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,0,6,0,0,0,3,1,11
c156321_g1,3,3,2,14,27,20,3,3,2,7,22,11,3,3,2,10,7,11,3,3,2,19,8,10
c156376_g1,0,0,0,3,1,4,0,0,0,5,8,3,0,0,0,4,2,11,0,0,0,15,2,4
c156439_g1,0,0,0,7,8,3,0,0,0,7,9,15,0,0,0,4,4,4,0,0,0,20,10,2
c156480_g1,1,0,0,19,8,14,1,0,0,34,33,36,1,0,0,35,16,44,1,0,0,68,27,21
c156529_g1,0,0,0,20,15,17,0,0,0,33,43,53,0,0,0,16,11,21,0,0,0,34,18,14
c156593_g1,0,0,0,6,2,2,0,0,0,6,12,7,0,0,0,4,1,6,0,0,0,10,3,3
c156644_g1,0,0,0,5,10,5,0,0,0,3,5,7,0,0,0,6,4,4,0,0,0,12,4,0
c15668_g1,0,0,0,7,1,3,0,0,0,5,4,12,0,0,0,3,2,15,0,0,0,16,2,2
c156736_g1,0,0,0,4,6,7,0,0,0,6,4,6,0,0,0,2,5,1,0,0,0,5,4,0
c156788_g1,0,0,0,5,5,2,0,0,0,6,6,5,0,0,0,0,2,8,0,0,0,10,11,4
c156842_g1,0,0,0,5,5,6,0,0,0,8,14,12,0,0,0,6,4,8,0,0,0,9,14,4
c156898_g1,0,0,0,5,4,4,0,0,0,7,6,3,0,0,0,6,3,3,0,0,0,14,5,5
c156953_g1,0,0,1,10,7,10,0,0,1,8,22,10,0,0,1,4,2,29,0,0,1,14,5,3
c157000_g1,0,0,0,0,0,2,0,0,0,7,7,8,0,0,0,5,6,4,0,0,0,12,9,13
c157059_g1,0,0,0,3,2,6,0,0,0,3,6,8,0,0,0,9,2,4,0,0,0,10,7,1
c1570_g1,1,0,0,2,3,3,1,0,0,4,4,4,1,0,0,3,0,1,1,0,0,7,5,1
c157150_g1,1,0,0,5,7,2,1,0,0,5,8,8,1,0,0,5,1,5,1,0,0,6,4,1
c15719_g1,0,0,1,0,0,0,0,0,1,3,3,0,0,0,1,0,1,0,0,0,1,0,0,1
c157249_g1,0,0,0,1,5,3,0,0,0,6,5,3,0,0,0,0,1,3,0,0,0,2,2,2
c157308_g1,147,132,158,222,156,200,147,132,158,231,184,215,147,132,158,516,177,189,147,132,158,504,301,69
c157369_g1,0,0,0,6,3,4,0,0,0,13,11,7,0,0,0,1,0,4,0,0,0,4,4,1
c157420_g1,0,1,0,5,11,4,0,1,0,4,5,4,0,1,0,3,2,2,0,1,0,2,0,0
c157478_g1,0,0,1,12,13,16,0,0,1,19,24,29,0,0,1,14,15,14,0,0,1,59,28,19
c157523_g1,0,1,1,21,13,27,0,1,1,25,41,33,0,1,1,22,18,7,0,1,1,44,14,11
c157581_g1,0,0,0,4,1,0,0,0,0,6,19,11,0,0,0,0,0,1,0,0,0,1,1,5
c157619_g2,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,3,1,10,0,0,0,15,2,6
c157669_g1,0,0,0,11,7,6,0,0,0,4,8,6,0,0,0,3,2,0,0,0,0,3,0,3
c157714_g1,19,19,18,37,29,32,19,19,18,37,34,39,19,19,18,30,21,30,19,19,18,61,37,15
c157761_g1,0,0,0,5,1,4,0,0,0,4,3,4,0,0,0,2,3,1,0,0,0,7,2,0
c157805_g1,0,0,0,4,4,3,0,0,0,11,8,9,0,0,0,15,9,10,0,0,0,38,6,20
